# Ballistic Lookup Table
# Ammunition: M2 Ball
# BC(G1): 0.62
# Muzzle Velocity: 887.0 m/s
#
Range(m),Elevation(deg),Elevation(mils),TOF(s),ImpactVel(m/s)
100,0.000000,0.0000,0.150000,821.92
150,0.014967,0.2661,0.170000,813.83
200,0.044544,0.7919,0.240000,786.51
250,0.074289,1.3207,0.300000,764.22
300,0.101823,1.8102,0.380000,736.01
350,0.124580,2.2148,0.430000,719.19
400,0.154337,2.7438,0.510000,693.50
450,0.180127,3.2023,0.590000,669.20
500,0.205854,3.6596,0.650000,651.83
550,0.235302,4.1831,0.740000,627.06
600,0.264884,4.7090,0.820000,606.28
650,0.298395,5.3048,0.900000,586.58
700,0.328433,5.8388,0.980000,567.91
750,0.362543,6.4452,1.080000,545.92
800,0.400870,7.1266,1.170000,527.35
850,0.435771,7.7470,1.270000,507.99
900,0.475026,8.4449,1.370000,489.89
950,0.518808,9.2233,1.470000,472.98
1000,0.563243,10.0132,1.590000,454.17
1050,0.608352,10.8151,1.700000,438.25
1100,0.654156,11.6294,1.810000,423.54
1150,0.704944,12.5323,1.930000,408.78
1200,0.760961,13.5282,2.060000,394.23
1250,0.818052,14.5431,2.180000,382.03
1300,0.876256,15.5779,2.310000,370.07
1350,0.940230,16.7152,2.450000,358.58
1400,1.005599,17.8773,2.600000,347.74
1450,1.076660,19.1406,2.740000,338.84
1500,1.145649,20.3671,2.880000,330.96
1550,1.225684,21.7899,3.050000,322.56
1600,1.302529,23.1561,3.200000,316.02
1650,1.386423,24.6475,3.350000,310.14
1700,1.477713,26.2705,3.530000,303.79
1750,1.565619,27.8332,3.690000,298.67
1800,1.661077,29.5303,3.850000,293.96
1850,1.758593,31.2639,4.030000,289.06
1900,1.864019,33.1381,4.210000,284.53
1950,1.971601,35.0507,4.380000,280.53
2000,2.081264,37.0002,4.560000,276.55
